ID,City,Country,Latitude,Longitude,Elevation (m),Elevation (ft),Max Temp (F),Adj Temp (F),Humidity (%),Wind Speed (mph),Cloudiness (%),Date
0,Kapaa,US,22.08,-159.32,5.705945969,18.72029577,82.04,82.10552104,84,9.17,75,1538013360
1,Faanui,PF,-16.48,-151.75,35.43472672,116.2556688,78.63,79.03689484,100,14.81,20,1538015865
2,Adrar,DZ,27.87,-0.29,255.7840729,839.1866177,80.6,83.53715316,36,21.92,0,1538013600
3,Yellowknife,CA,62.45,-114.38,199.0788269,653.1457785,30.2,32.48601022,54,16.11,90,1538013600
4,Albany,AU,-35.02,117.88,45.38935852,148.915223,57.21,57.73120328,75,8.21,32,1538015866
5,Nuuk,GL,64.17,-51.74,1,3.28084,33.8,33.81148294,100,3.36,92,1538013000
6,Punta Arenas,CL,-53.16,-70.91,19.48355484,63.92242606,33.8,34.02372849,80,8.05,0,1538013600
7,Cockburn Town,TC,21.46,-71.14,6.05237627,19.85687816,82.32,82.38949907,100,18.5,48,1538015866
8,Carnarvon,AU,-24.87,113.63,0,0,70.71,70.71,73,18.72,0,1538015866
9,Ribeira Grande,PT,38.52,-28.7,8.446471214,27.71152062,75.03,75.12699032,95,23.64,68,1538015867
10,Buala,SB,-8.15,159.59,146.3001709,479.9874527,79.89,81.56995608,99,14.92,88,1538015867
11,Saskylakh,RU,71.97,114.09,65.09505463,213.566459,29.76,30.50748261,94,11.23,0,1538015867
12,Vestmannaeyjar,IS,63.44,-20.27,8.410666466,27.59405097,40.83,40.92657918,100,8.99,44,1538015868
13,Tiarei,PF,-17.53,-149.33,-97.38153839,-319.4932464,78.8,77.68177364,61,4.7,75,1538013600
14,Victoria,SC,-4.62,55.45,10.16719437,33.35693797,78.8,78.91674928,78,14.99,75,1538013600
15,Upington,ZA,-28.46,21.24,804.8720703,2640.656483,48.2,57.44229769,39,4.7,0,1538013600
16,Atuona,PF,-9.8,-139.03,18.34078026,60.1731655,79.26,79.47060608,100,9.78,0,1538015823
17,Richards Bay,ZA,-28.77,32.06,6.493928432,21.30554016,65.76,65.83456939,87,2.84,64,1538015869
